order_id,pickup_node,pickup_x_m,pickup_y_m,delivery_node,delivery_x_m,delivery_y_m,order_type,weight_kg,volume_l,order_time_min,order_time_hhmm,ready_time_min,ready_time_hhmm,earliest_start_min,service_deadline_s,latest_finish_min,latest_finish_hhmm,S_j_h,a_j_h,b_j_h,priority,splittable,source_type,source_note
OD120_017,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.80,1.8,213,11:33,221,11:41,221,900,236,11:56,3.6833,3.6833,3.9333,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_018,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.94,2.5,214,11:34,223,11:43,223,1080,241,12:01,3.7167,3.7167,4.0167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_019,CANTEEN_W,525,520,DORM_W,267,768,外卖,0.71,1.6,215,11:35,223,11:43,223,1320,245,12:05,3.7167,3.7167,4.0833,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_020,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,1.30,2.8,219,11:39,229,11:49,229,1320,251,12:11,3.8167,3.8167,4.1833,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_021,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.69,2.2,221,11:41,226,11:46,226,1320,248,12:08,3.7667,3.7667,4.1333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_022,CANTEEN_W,525,520,DORM_W,267,768,外卖,0.83,2.0,223,11:43,232,11:52,232,1200,252,12:12,3.8667,3.8667,4.2000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_023,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.94,2.3,225,11:45,235,11:55,235,900,250,12:10,3.9167,3.9167,4.1667,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_024,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.66,1.9,226,11:46,236,11:56,236,1500,261,12:21,3.9333,3.9333,4.3500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_025,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.60,1.9,230,11:50,240,12:00,240,900,255,12:15,4.0000,4.0000,4.2500,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_026,RESTAURANT_X,720,715,DORM_W,267,768,外卖,0.58,1.1,233,11:53,240,12:00,240,900,255,12:15,4.0000,4.0000,4.2500,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_027,GATE_S,800,160,DORM_E,1240,1080,外卖,1.03,2.2,233,11:53,243,12:03,243,1200,263,12:23,4.0500,4.0500,4.3833,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_028,RESTAURANT_X,720,715,DORM_W,267,768,外卖,1.14,2.8,234,11:54,241,12:01,241,1500,266,12:26,4.0167,4.0167,4.4333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_029,RESTAURANT_X,720,715,DORM_E,1240,1080,外卖,0.40,1.2,235,11:55,242,12:02,242,1200,262,12:22,4.0333,4.0333,4.3667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_030,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.84,2.6,238,11:58,248,12:08,248,1200,268,12:28,4.1333,4.1333,4.4667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_031,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.74,1.9,239,11:59,244,12:04,244,900,259,12:19,4.0667,4.0667,4.3167,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_032,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,0.81,2.0,245,12:05,255,12:15,255,900,270,12:30,4.2500,4.2500,4.5000,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_033,RESTAURANT_X,720,715,DORM_W,267,768,外卖,0.82,1.9,245,12:05,253,12:13,253,1080,271,12:31,4.2167,4.2167,4.5167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_034,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.33,1.3,247,12:07,255,12:15,255,1080,273,12:33,4.2500,4.2500,4.5500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_035,CANTEEN_W,525,520,LIB,640,865,外卖,1.11,3.3,248,12:08,253,12:13,253,1320,275,12:35,4.2167,4.2167,4.5833,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_036,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.68,2.2,252,12:12,260,12:20,260,1320,282,12:42,4.3333,4.3333,4.7000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_037,CANTEEN_W,525,520,DORM_W,267,768,外卖,1.41,3.9,252,12:12,258,12:18,258,1080,276,12:36,4.3000,4.3000,4.6000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_038,RESTAURANT_X,720,715,LIB,640,865,外卖,0.49,1.1,252,12:12,262,12:22,262,1200,282,12:42,4.3667,4.3667,4.7000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_039,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,0.88,2.5,253,12:13,262,12:22,262,1320,284,12:44,4.3667,4.3667,4.7333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_040,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,1.24,3.6,253,12:13,258,12:18,258,1500,283,12:43,4.3000,4.3000,4.7167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_041,RESTAURANT_X,720,715,DORM_E,1240,1080,外卖,0.73,1.5,257,12:17,263,12:23,263,1200,283,12:43,4.3833,4.3833,4.7167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_042,RESTAURANT_X,720,715,DORM_E,1240,1080,外卖,0.59,1.4,258,12:18,266,12:26,266,900,281,12:41,4.4333,4.4333,4.6833,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_043,RESTAURANT_X,720,715,DORM_W,267,768,外卖,0.82,2.6,258,12:18,267,12:27,267,1500,292,12:52,4.4500,4.4500,4.8667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_044,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.73,2.3,258,12:18,263,12:23,263,1200,283,12:43,4.3833,4.3833,4.7167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_045,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,0.74,2.5,265,12:25,270,12:30,270,1080,288,12:48,4.5000,4.5000,4.8000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_046,RESTAURANT_X,720,715,DORM_W,267,768,外卖,0.98,2.0,271,12:31,276,12:36,276,1080,294,12:54,4.6000,4.6000,4.9000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_047,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.90,2.3,271,12:31,276,12:36,276,1320,298,12:58,4.6000,4.6000,4.9667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_048,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,0.91,2.3,274,12:34,283,12:43,283,1200,303,13:03,4.7167,4.7167,5.0500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_049,RESTAURANT_X,720,715,DORM_W,267,768,外卖,1.08,2.1,285,12:45,291,12:51,291,1080,309,13:09,4.8500,4.8500,5.1500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_050,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.47,1.2,289,12:49,297,12:57,297,1080,315,13:15,4.9500,4.9500,5.2500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_051,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.71,1.9,328,13:28,336,13:36,336,1320,358,13:58,5.6000,5.6000,5.9667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_052,CANTEEN_W,525,520,LIB,640,865,外卖,0.92,2.8,334,13:34,343,13:43,343,1500,368,14:08,5.7167,5.7167,6.1333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_053,CANTEEN_W,525,520,LIB,640,865,外卖,1.12,3.0,387,14:27,392,14:32,392,1500,417,14:57,6.5333,6.5333,6.9500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_054,GATE_S,800,160,LIB,640,865,外卖,0.88,2.4,395,14:35,401,14:41,401,1500,426,15:06,6.6833,6.6833,7.1000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_055,RESTAURANT_X,720,715,DORM_E,1240,1080,外卖,1.39,3.0,430,15:10,440,15:20,440,1080,458,15:38,7.3333,7.3333,7.6333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_056,RESTAURANT_X,720,715,LIB,640,865,外卖,1.15,2.7,431,15:11,439,15:19,439,1080,457,15:37,7.3167,7.3167,7.6167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_057,CANTEEN_W,525,520,LIB,640,865,外卖,1.04,2.7,437,15:17,444,15:24,444,1500,469,15:49,7.4000,7.4000,7.8167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_058,CANTEEN_W,525,520,DORM_W,267,768,外卖,0.44,1.5,440,15:20,446,15:26,446,1500,471,15:51,7.4333,7.4333,7.8500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_059,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,1.35,3.6,456,15:36,463,15:43,463,1500,488,16:08,7.7167,7.7167,8.1333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_060,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,1.02,2.5,456,15:36,463,15:43,463,1200,483,16:03,7.7167,7.7167,8.0500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_061,RESTAURANT_X,720,715,LIB,640,865,外卖,0.57,1.8,467,15:47,473,15:53,473,1320,495,16:15,7.8833,7.8833,8.2500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_062,RESTAURANT_X,720,715,DORM_E,1240,1080,外卖,1.17,2.4,497,16:17,503,16:23,503,1080,521,16:41,8.3833,8.3833,8.6833,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_063,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.90,2.2,500,16:20,506,16:26,506,1320,528,16:48,8.4333,8.4333,8.8000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_064,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,1.38,3.0,501,16:21,509,16:29,509,1320,531,16:51,8.4833,8.4833,8.8500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_065,CANTEEN_W,525,520,DORM_W,267,768,外卖,0.65,2.1,502,16:22,510,16:30,510,1200,530,16:50,8.5000,8.5000,8.8333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_066,CANTEEN_W,525,520,DORM_W,267,768,外卖,1.45,4.1,540,17:00,546,17:06,546,1080,564,17:24,9.1000,9.1000,9.4000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_067,RESTAURANT_X,720,715,DORM_E,1240,1080,外卖,1.13,2.5,541,17:01,547,17:07,547,1320,569,17:29,9.1167,9.1167,9.4833,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_068,RESTAURANT_X,720,715,LIB,640,865,外卖,0.77,2.1,541,17:01,548,17:08,548,1200,568,17:28,9.1333,9.1333,9.4667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_069,RESTAURANT_X,720,715,DORM_E,1240,1080,外卖,0.76,2.3,545,17:05,553,17:13,553,1500,578,17:38,9.2167,9.2167,9.6333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_070,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,1.16,3.5,547,17:07,557,17:17,557,1200,577,17:37,9.2833,9.2833,9.6167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_071,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.68,2.2,553,17:13,561,17:21,561,1200,581,17:41,9.3500,9.3500,9.6833,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_072,RESTAURANT_X,720,715,DORM_W,267,768,外卖,1.14,3.2,553,17:13,558,17:18,558,1080,576,17:36,9.3000,9.3000,9.6000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_073,RESTAURANT_X,720,715,DORM_W,267,768,外卖,0.49,1.7,557,17:17,566,17:26,566,1320,588,17:48,9.4333,9.4333,9.8000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_074,GATE_S,800,160,DORM_E,1240,1080,外卖,0.66,2.2,560,17:20,566,17:26,566,1200,586,17:46,9.4333,9.4333,9.7667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_075,RESTAURANT_X,720,715,DORM_W,267,768,外卖,0.89,2.5,561,17:21,566,17:26,566,1500,591,17:51,9.4333,9.4333,9.8500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_076,CANTEEN_E,1125,920,LIB,640,865,外卖,0.54,2.0,564,17:24,574,17:34,574,1200,594,17:54,9.5667,9.5667,9.9000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_077,CANTEEN_W,525,520,DORM_W,267,768,外卖,1.14,3.4,565,17:25,574,17:34,574,1200,594,17:54,9.5667,9.5667,9.9000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_078,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,0.99,2.9,570,17:30,580,17:40,580,1500,605,18:05,9.6667,9.6667,10.0833,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_079,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,0.81,2.7,572,17:32,582,17:42,582,1200,602,18:02,9.7000,9.7000,10.0333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_080,RESTAURANT_X,720,715,DORM_W,267,768,外卖,0.66,2.0,572,17:32,581,17:41,581,1200,601,18:01,9.6833,9.6833,10.0167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_081,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.37,1.0,572,17:32,580,17:40,580,1200,600,18:00,9.6667,9.6667,10.0000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_082,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.50,1.5,574,17:34,579,17:39,579,1500,604,18:04,9.6500,9.6500,10.0667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_083,RESTAURANT_X,720,715,DORM_E,1240,1080,外卖,0.97,2.8,575,17:35,580,17:40,580,1320,602,18:02,9.6667,9.6667,10.0333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_084,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.79,2.2,579,17:39,587,17:47,587,900,602,18:02,9.7833,9.7833,10.0333,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_085,CANTEEN_E,1125,920,LIB,640,865,外卖,1.07,2.8,582,17:42,587,17:47,587,900,602,18:02,9.7833,9.7833,10.0333,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_086,CANTEEN_W,525,520,DORM_W,267,768,外卖,0.76,1.5,584,17:44,593,17:53,593,1500,618,18:18,9.8833,9.8833,10.3000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_087,CANTEEN_E,1125,920,LIB,640,865,外卖,1.19,3.0,589,17:49,596,17:56,596,1320,618,18:18,9.9333,9.9333,10.3000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_088,RESTAURANT_X,720,715,DORM_W,267,768,外卖,0.85,2.6,591,17:51,599,17:59,599,1200,619,18:19,9.9833,9.9833,10.3167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_089,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,1.14,3.3,592,17:52,602,18:02,602,1320,624,18:24,10.0333,10.0333,10.4000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_090,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.50,1.0,594,17:54,599,17:59,599,1320,621,18:21,9.9833,9.9833,10.3500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_091,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,0.66,2.0,594,17:54,602,18:02,602,1080,620,18:20,10.0333,10.0333,10.3333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_092,CANTEEN_E,1125,920,DORM_W,267,768,外卖,1.39,2.7,594,17:54,599,17:59,599,900,614,18:14,9.9833,9.9833,10.2333,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_093,GATE_S,800,160,DORM_W,267,768,外卖,0.88,2.4,594,17:54,599,17:59,599,1320,621,18:21,9.9833,9.9833,10.3500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_094,CANTEEN_W,525,520,DORM_W,267,768,外卖,1.38,3.1,596,17:56,603,18:03,603,1500,628,18:28,10.0500,10.0500,10.4667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_095,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,1.31,3.4,598,17:58,608,18:08,608,1200,628,18:28,10.1333,10.1333,10.4667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_096,RESTAURANT_X,720,715,DORM_W,267,768,外卖,0.42,1.6,602,18:02,607,18:07,607,1500,632,18:32,10.1167,10.1167,10.5333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_097,CANTEEN_E,1125,920,LIB,640,865,外卖,0.49,1.9,603,18:03,612,18:12,612,900,627,18:27,10.2000,10.2000,10.4500,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_098,CANTEEN_W,525,520,DORM_W,267,768,外卖,0.62,1.9,604,18:04,610,18:10,610,1320,632,18:32,10.1667,10.1667,10.5333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_099,CANTEEN_W,525,520,DORM_W,267,768,外卖,0.82,2.5,605,18:05,610,18:10,610,1080,628,18:28,10.1667,10.1667,10.4667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_100,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.71,2.4,605,18:05,611,18:11,611,1200,631,18:31,10.1833,10.1833,10.5167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_101,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,0.81,2.2,606,18:06,614,18:14,614,900,629,18:29,10.2333,10.2333,10.4833,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_102,CANTEEN_W,525,520,DORM_W,267,768,外卖,0.80,2.5,607,18:07,616,18:16,616,1320,638,18:38,10.2667,10.2667,10.6333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_103,CANTEEN_W,525,520,LIB,640,865,外卖,0.60,1.8,608,18:08,613,18:13,613,1500,638,18:38,10.2167,10.2167,10.6333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_104,CANTEEN_W,525,520,LIB,640,865,外卖,0.81,2.7,611,18:11,619,18:19,619,1080,637,18:37,10.3167,10.3167,10.6167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_105,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,1.25,3.1,613,18:13,621,18:21,621,900,636,18:36,10.3500,10.3500,10.6000,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_106,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,0.54,1.8,614,18:14,622,18:22,622,1080,640,18:40,10.3667,10.3667,10.6667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_107,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.54,1.6,614,18:14,619,18:19,619,1320,641,18:41,10.3167,10.3167,10.6833,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_108,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.79,2.3,619,18:19,627,18:27,627,1500,652,18:52,10.4500,10.4500,10.8667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_109,GATE_S,800,160,DORM_E,1240,1080,外卖,1.40,4.1,621,18:21,628,18:28,628,900,643,18:43,10.4667,10.4667,10.7167,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
